rating,content,userName,at,reviewCreatedVersion
3,Вместо удобного и гибкого выбора музыки по настроению сделали колесо каких-то случайных плейлистов с загадочными названиями,Антон Сизиков,2026-06-19 23:43:51,2026.06.1 #150gpr
1,"отвратительный новый дизайн, половина треков, которые я слушал не доступны.",Шизанутый морж,2026-06-19 23:37:09,2026.06.2 #151.1gpr
1,"спасибо за ""отличный"" дизайн",Илья,2026-06-19 23:25:13,2026.06.2 #151.1gpr
1,"Новая страница ""волны"" это какое-то убожество: - теперь волну невозможно адекватно настроить - есть только выбор из странных предложений, не соответствующих моим запросам - она по ощущениям загружается дольше прошлой верните прошлый дизайн",Михаил Ламанов,2026-06-19 23:09:49,2026.06.2 #151.1gpr
5,хорошо,Дима Кричевский,2026-06-19 23:09:21,2026.06.2 #151.1gpr
1,Жадные барыги. Нет отдельной подписки.,_ M _,2026-06-19 23:04:30,2026.06.2 #151.1gpr
1,Ужасное обновление интерфейса,Евгений Юрин,2026-06-19 22:51:38,2026.06.2 #151.1gpr
1,"не могу слушать музыку, требует подписку.",Юлия Баловна,2026-06-19 22:42:41,2026.06.2 #151.1gpr
2,Тупящая тормозная прога за что я плачу !!!?,Bender,2026-06-19 22:42:10,2026.06.2 #151.1gpr
4,Когда уже смогу переносить музыку из вк музыки (7к+ треков) и слушать её у вас?,Н. Исмаилов,2026-06-19 22:40:40,2026.06.2 #151.1gpr
5,"Наконец-то вернули приемлемый горизонтальный режим!!!! Пару лет издевались и не шли на уговоры. Новый дизайн главной страницы все равно мразотный - это же плеер и он должен быть удобен как плеер, а не так как сейчас.",Ron Dragoron,2026-06-19 22:31:38,2026.06.2 #151.1gpr
1,"Хотелось бы сказать, что сервис хороший, но за последний год появился ряд претензий. Для веб версии начали урезать функции и менять дизайн не в лучшую сторону. Вернуть недостающие функции можно только включив десктопную версию, что не очень удобно. Все же решил установить приложение и получил ещё более слабый функционал. Скопировать название трека или исполнителя - нельзя. Перейти по треку к исполнителю - тоже. Перейти на нужную страницу через поиск - отдельный вид издевательства.",Kira Light,2026-06-19 21:42:26,2026.06.2 #151.1gpr
3,после обновления вообще не понятен алгоритм работы приложения.....,Алексей Пузырников,2026-06-19 21:08:58,2026.04.3 #143.1gpr
1,"нет нормализации громкости, хотя бы добавили в подписку",VLFreedom,2026-06-19 21:06:54,2026.06.2 #151.1gpr
5,супер,Сергей Парасич,2026-06-19 20:49:22,2026.06.1 #150gpr
1,"с интернетом или без, приложение стало безумно долго работать, не открывая даже раздел скачанного",Влад Костров,2026-06-19 20:49:09,2026.06.2 #151.1gpr
5,супер приложение,Rain Run,2026-06-19 20:43:37,2026.04.5 #145gpr
1,"раньше было все отлично, меня даже не смутило ограничение музыки из-за законов, но то что у вас при прослушивании музыки просто хрипит звук, вот это полный ужас. я думала дело в моих наушниках, я их сменила, но проблема осталась. вряд-ли звук бы хрипел на абсолютно новых наушниках, так что у вас проблемы. я что 4 с половиной тысячи в гот плачу чтобы у меня музыка плохо работала? после обновления приложения кстати ничего не изменилось.",Полина Ковалева,2026-06-19 20:37:46,2026.06.2 #151.1gpr
2,"в пиратской версии Яндекс музыки подбор трека по жанру был на 10 голов выше,чем в платной,сейчас сижу на подписке и очень разочарован как здесь все сделано через заднее место,надеюсь разработчики обратят внимание и исправят этот косяк с подбором по жанру.",Artem safrygin,2026-06-19 20:34:55,2026.06.2 #151.1gpr
3,"я слушала волну по своему плейлисту, после возобновления прикольно, что музыка сама начинает играть, но доигрывает та песня, а потом начинается какая рандомщина. Мне это не нравится, какой тогда смысл в этом возобновлении?",Натали Булгакова,2026-06-19 20:27:55,2026.06.2 #151.1gpr
1,"верните старый интерфейс,какой шизоид это придумал !",Olga B,2026-06-19 20:27:38,2026.06.2 #151.1gpr
